new_ID,EWRB_ID,data_year,Postal_Code,Table Names,City,PrimaryPropertyType,PropertyType_selected,LargestPropertyType,Weather-normalized Site Electricity Intensity (GJ/m2),Weather-normalized Site Electricity Intensity (kWh/ft2),Weather-normalized Site Natural Gas Intensity (GJ/m2),Weather-normalized Site Natural Gas Intensity (m3/m2),Weather-normalized Site Natural Gas Intensity (m3/ft2),All Water Use Intensity (m3/m2),All Water Use Intensity (m3/ft2),Indoor Water Use Intensity (m3/m2),Indoor Water Use Intensity (m3/ft2),Site Energy Use Intensity (GJ/m2),Site Energy Use Intensity (ekWh/ft2),Source Energy Use Intensity (GJ/m2),Source Energy Use Intensity (ekWh/ft2),Weather-normalized Site Energy Use Intensity (GJ/m2),Weather-normalized Site Energy Use Intensity (ekWh/ft2),Weather-normalized Source Energy Use Intensity (GJ/m2),Weather-normalized Source Energy Use Intensity (ekWh/ft2),GHG Emissions Intensity (kgCO2e/m2),GHG Emissions Intensity (kgCO2e/ft2),Energy_Star_Score,Data_Quality_Check,Data_Quality_Date,Third_Party_Cert,ENERGY STAR Certification - Year(s) Certified
107110_2018,107110,2018,M2N,ontario_large_building_energy_water_ghgs-2018.xlsx/2018 Building Data,Toronto,Office,Office,Office,0.173601792,4.48,0.113538672,3.043932225,0.281866282,0.457987069,0.042563854,0.46,0.04,0.756407808,19.52,1.33107624,34.35,0.75989534399999992,19.609999999999999,1.3322387519999999,34.380000000000003,15.0696,1.4,81,Yes,2019-05-14,BOMA Gold,Not Available
107111_2018,107111,2018,M2N,ontario_large_building_energy_water_ghgs-2018.xlsx/2018 Building Data,Toronto,Office,Office,Office,0.152289072,3.93,0.340616016,9.131796676,0.845598846,0.420500583,0.039079980,0.42,0.04,0.806395824,20.81,1.312863552,33.88,0.80872084799999999,20.870000000000001,1.3082135039999998,33.759999999999998,19.3752,1.8,78,Yes,2019-05-14,BOMA Gold,Not Available
111297_2018,111297,2018,L5N,ontario_large_building_energy_water_ghgs-2018.xlsx/2018 Building Data,Mississauga,Office,Office,Office,0.117026208,3.02,0.56769336,15.219661126,1.409331409,0.610785246,0.056764428,0.61,0.06,0.927684576,23.94,1.3175136,34,0.96062241599999987,24.789999999999999,1.3504514399999998,34.850000000000001,30.1392,2.8,74,Yes,2019-05-14,LEED,Not Available
111662_2018,111662,2018,L5B,ontario_large_building_energy_water_ghgs-2018.xlsx/2018 Building Data,Mississauga,Office,Office,Office,0.204602112,5.28,0.113538672,3.043932225,0.281866282,0.599783777,0.055741987,0.6,0.06,0.758732832,19.58,1.432214784,36.96,0.75640780799999996,19.52,1.4264022239999998,36.810000000000002,10.764,1,75,Yes,2019-05-14,BOMA Gold,Not Available
113606_2018,113606,2018,L7E,ontario_large_building_energy_water_ghgs-2018.xlsx/2018 Building Data,Bolton,Non-Refrigerated Warehouse,Distribution Center,Non-Refrigerated Warehouse,0.120513744,3.11,0.340616016,9.131796676,0.845598846,0.143426555,0.013329606,0.14,0.01,0.6975072,18,1.099348848,28.37,0.70525727999999988,18.199999999999999,1.1039988959999998,28.489999999999998,18.2988,1.7,5,Yes,2019-05-14,BOMA,Not Available
119207_2018,119207,2018,N6A,ontario_large_building_energy_water_ghgs-2018.xlsx/2018 Building Data,London,Office,Office,Office,0.141826464,3.66,0.340616016,9.131796676,0.845598846,0.603858395,0.056120669,,,0.793995696,20.49,1.27101312,32.8,0.76997044799999992,19.870000000000001,1.2369127679999998,31.920000000000002,20.4516,1.9,91,Yes,2019-05-14,BOMA Gold,Not Available
125069_2018,125069,2018,M5C,ontario_large_building_energy_water_ghgs-2018.xlsx/2018 Building Data,Toronto,Office,Office,Office,0.156551616,4.04,0.227077344,6.087864450,0.563732564,0.611600170,0.056840164,0.61,0.06,0.81763344,21.1,1.335726288,34.47,0.80290828799999991,20.719999999999999,1.3186761119999999,34.030000000000001,19.3752,1.8,82,Yes,2019-05-14,BOMA Gold,Not Available
135929_2018,135929,2018,M5H,ontario_large_building_energy_water_ghgs-2018.xlsx/2018 Building Data,Toronto,Office,Office,Office,0.144151488,3.72,0,0,0,0.723244704,0.067216051,0.72,0.07,0.952872336,24.59,1.584503856,40.89,0.94705977600000002,24.440000000000001,1.5705537119999999,40.530000000000001,43.056,4,61,Yes,2019-05-14,BOMA Gold,Not Available
101503_2018,101503,2018,K2V,ontario_large_building_energy_water_ghgs-2018.xlsx/2018 Building Data,Ottawa,Other,Other,Other,0.79632072,20.55,1.816618752,48.702915603,4.509860510,1.969262904,0.183016999,,,4.537284336,117.09,7.16301144,184.85,4.5667346399999991,117.84999999999999,7.192461744,185.61000000000001,120.5568,11.2,,Yes,2019-05-15,Not Available,Not Available
105168_2018,105168,2018,M5V,ontario_large_building_energy_water_ghgs-2018.xlsx/2018 Building Data,Toronto,Office,Office,Office,0.147639024,3.81,0.340616016,9.131796676,0.845598846,0.572076374,0.053166949,,,0.8621964,22.25,1.351613952,34.88,0.86297140799999983,22.27,1.3504514399999998,34.850000000000001,23.6808,2.2,86,Yes,2019-05-15,Not Available,Not Available
